Series_Title,Certificate,Runtime,Genre,Meta_score,No_of_Votes,IMDB_Rating
Being There,PG,130,"Comedy, Drama",83,65625,8
Annie Hall,A,93,"Comedy, Romance",92,251823,8
Jaws,A,124,"Adventure, Thriller",87,543388,8
Dog Day Afternoon,U,125,"Biography, Crime, Drama",86,235652,8
Young Frankenstein,A,106,Comedy,80,143359,8
Papillon,R,151,"Biography, Crime, Drama",58,121627,8
The Exorcist,A,122,Horror,81,362393,8
Sleuth,PG,138,"Mystery, Thriller",,44748,8
The Last Picture Show,R,118,"Drama, Romance",93,42456,8
Fiddler on the Roof,G,181,"Drama, Family, Musical",67,39491,8
Il conformista,UA,113,Drama,100,27067,8
Butch Cassidy and the Sundance Kid,PG,110,"Biography, Crime, Drama",66,201888,8
Rosemary's Baby,A,137,"Drama, Horror",96,193674,8
Planet of the Apes,U,112,"Adventure, Sci-Fi",79,165167,8
The Graduate,A,106,"Comedy, Drama, Romance",83,253676,8
Who's Afraid of Virginia Woolf?,A,131,Drama,75,68926,8
The Sound of Music,U,172,"Biography, Drama, Family",63,205425,8
Doctor Zhivago,A,197,"Drama, Romance, War",69,69903,8
Per un pugno di dollari,A,99,"Action, Drama, Western",65,198219,8
8½,,138,Drama,91,108844,8
Vivre sa vie: Film en douze tableaux,,80,Drama,,28057,8
The Hustler,A,134,"Drama, Sport",90,75067,8
La dolce vita,A,174,"Comedy, Drama",95,66621,8
Rio Bravo,Passed,141,"Action, Drama, Western",93,56305,8
Anatomy of a Murder,,161,"Crime, Drama, Mystery",95,59847,8
Touch of Evil,PG-13,95,"Crime, Drama, Film-Noir",99,98431,8
Cat on a Hot Tin Roof,A,108,Drama,84,45062,8
Sweet Smell of Success,Approved,96,"Drama, Film-Noir",100,28137,8
The Killing,Approved,84,"Crime, Drama, Film-Noir",91,81702,8
The Night of the Hunter,,92,"Crime, Drama, Film-Noir",99,81980,8
La Strada,,108,Drama,,58314,8
Les diaboliques,,117,"Crime, Drama, Horror",,61503,8
Stalag 17,,120,"Comedy, Drama, War",84,51046,8
Roman Holiday,,118,"Comedy, Romance",78,127256,8
A Streetcar Named Desire,A,122,Drama,97,99182,8
In a Lonely Place,,94,"Drama, Film-Noir, Mystery",,26784,8
Kind Hearts and Coronets,U,106,"Comedy, Crime",,34485,8
Rope,A,80,"Crime, Drama, Mystery",73,129783,8
Out of the Past,,97,"Crime, Drama, Film-Noir",,32784,8
Brief Encounter,U,86,"Drama, Romance",92,35601,8
Laura,Passed,88,"Drama, Film-Noir, Mystery",,42725,8
The Best Years of Our Lives,Approved,170,"Drama, Romance, War",93,57259,8
Arsenic and Old Lace,,118,"Comedy, Crime, Thriller",,65101,8
The Maltese Falcon,,100,"Film-Noir, Mystery",96,148928,8
The Grapes of Wrath,Passed,129,"Drama, History",96,85559,8
The Wizard of Oz,U,102,"Adventure, Family, Fantasy",92,371379,8
La règle du jeu,,110,"Comedy, Drama",,26725,8
The Thin Man,TV-PG,91,"Comedy, Crime, Mystery",86,26642,8
All Quiet on the Western Front,U,152,"Drama, War",91,57318,8
Bronenosets Potemkin,,75,"Drama, History, Thriller",97,53054,8
Knives Out,UA,130,"Comedy, Crime, Drama",82,454203,7.9
Dil Bechara,UA,101,"Comedy, Drama, Romance",,111478,7.9
Manbiki kazoku,A,121,"Crime, Drama",93,62754,7.9
Marriage Story,U,137,"Comedy, Drama, Romance",94,246644,7.9
Call Me by Your Name,UA,132,"Drama, Romance",93,212651,7.9
"I, Daniel Blake",UA,100,Drama,78,53818,7.9
Isle of Dogs,U,101,"Animation, Adventure, Comedy",82,139114,7.9
Hunt for the Wilderpeople,UA,101,"Adventure, Comedy, Drama",81,111483,7.9
Captain Fantastic,R,118,"Comedy, Drama",72,189400,7.9
Sing Street,PG-13,106,"Comedy, Drama, Music",79,85109,7.9
Thor: Ragnarok,UA,130,"Action, Adventure, Comedy",74,587775,7.9
Nightcrawler,A,117,"Crime, Drama, Thriller",76,466134,7.9
Jojo Rabbit,UA,108,"Comedy, Drama, War",58,297918,7.9
Arrival,UA,116,"Drama, Sci-Fi",81,594181,7.9
Star Wars: Episode VII - The Force Awakens,U,138,"Action, Adventure, Sci-Fi",80,860823,7.9
Before Midnight,R,109,"Drama, Romance",94,141457,7.9
X-Men: Days of Future Past,UA,132,"Action, Adventure, Sci-Fi",75,659763,7.9
Bir Zamanlar Anadolu'da,,157,"Crime, Drama",82,41995,7.9
The Artist,U,100,"Comedy, Drama, Romance",89,230624,7.9
Edge of Tomorrow,UA,113,"Action, Adventure, Sci-Fi",71,600004,7.9
Amour,UA,127,"Drama, Romance",94,93090,7.9
The Irishman,R,209,"Biography, Crime, Drama",94,324720,7.9
Un prophète,A,155,"Crime, Drama",90,93560,7.9
Moon,R,97,"Drama, Mystery, Sci-Fi",67,335152,7.9
Låt den rätte komma in,R,114,"Crime, Drama, Fantasy",82,205609,7.9
District 9,A,112,"Action, Sci-Fi, Thriller",81,638202,7.9
The Wrestler,UA,109,"Drama, Sport",80,289415,7.9
Jab We Met,U,138,"Comedy, Drama, Romance",,47720,7.9
Boyhood,A,165,Drama,100,335533,7.9
"4 luni, 3 saptamâni si 2 zile",,113,Drama,97,56625,7.9
Star Trek,UA,127,"Action, Adventure, Sci-Fi",82,577336,7.9
In Bruges,R,107,"Comedy, Crime, Drama",67,390334,7.9
The Man from Earth,,87,"Drama, Fantasy, Mystery",,174125,7.9
Letters from Iwo Jima,UA,141,"Action, Adventure, Drama",89,154011,7.9
The Fall,R,117,"Adventure, Drama, Fantasy",64,107290,7.9
Life of Pi,U,127,"Adventure, Drama, Fantasy",79,580708,7.9
Fantastic Mr. Fox,PG,87,"Animation, Adventure, Comedy",83,199696,7.9
C.R.A.Z.Y.,,129,"Comedy, Drama",81,31476,7.9
Les choristes,PG-13,97,"Drama, Music",56,57430,7.9
Iron Man,UA,126,"Action, Adventure, Sci-Fi",79,939644,7.9
Shaun of the Dead,UA,99,"Comedy, Horror",76,512249,7.9
Gegen die Wand,R,121,"Drama, Romance",78,51325,7.9
Mystic River,A,138,"Crime, Drama, Mystery",84,419420,7.9
Harry Potter and the Prisoner of Azkaban,U,142,"Adventure, Family, Fantasy",82,552493,7.9
Ying xiong,PG-13,120,"Action, Adventure, History",85,173999,7.9
Hable con ella,R,112,"Drama, Mystery, Romance",86,104691,7.9
No Man's Land,R,98,"Comedy, Drama, War",84,44618,7.9
Cowboy Bebop: Tengoku no tobira,U,115,"Animation, Action, Crime",61,42897,7.9
The Bourne Identity,UA,119,"Action, Mystery, Thriller",68,508771,7.9
Nueve reinas,R,114,"Crime, Drama, Thriller",80,49721,7.9
Children of Men,A,109,"Adventure, Drama, Sci-Fi",84,465113,7.9
Almost Famous,A,122,"Adventure, Comedy, Drama",90,252586,7.9
Mulholland Dr.,R,147,"Drama, Mystery, Thriller",85,322031,7.9
Toy Story 2,U,92,"Animation, Adventure, Comedy",88,527512,7.9
Boogie Nights,R,155,Drama,85,239473,7.9
Mimi wo sumaseba,U,111,"Animation, Drama, Family",75,51943,7.9
Once Were Warriors,A,102,"Crime, Drama",77,31590,7.9
True Romance,R,119,"Crime, Drama, Romance",59,206918,7.9
Trois couleurs: Bleu,U,94,"Drama, Music, Mystery",85,89836,7.9
Jûbê ninpûchô,A,94,"Animation, Action, Adventure",,34529,7.9
Carlito's Way,A,144,"Crime, Drama, Thriller",65,201000,7.9
Edward Scissorhands,U,105,"Drama, Fantasy, Romance",74,447368,7.9
My Left Foot: The Story of Christy Brown,U,103,"Biography, Drama",97,68076,7.9
Crimes and Misdemeanors,PG-13,104,"Comedy, Drama",77,54670,7.9
The Untouchables,A,119,"Crime, Drama, Thriller",79,281842,7.9
Hannah and Her Sisters,PG-13,107,"Comedy, Drama",90,67176,7.9
Brazil,U,132,"Drama, Sci-Fi",84,187567,7.9
This Is Spinal Tap,R,82,"Comedy, Music",92,128812,7.9
A Christmas Story,U,93,"Comedy, Family",77,132947,7.9
The Blues Brothers,U,133,"Action, Adventure, Comedy",60,183182,7.9
Manhattan,R,96,"Comedy, Drama, Romance",83,131436,7.9
All That Jazz,A,123,"Drama, Music, Musical",72,28223,7.9
Dawn of the Dead,A,127,"Action, Adventure, Horror",71,111512,7.9
All the President's Men,U,138,"Biography, Drama, History",84,103031,7.9
La montaña sagrada,R,114,"Adventure, Drama, Fantasy",76,37183,7.9
Amarcord,R,123,"Comedy, Drama, Family",,39897,7.9
Le charme discret de la bourgeoisie,PG,102,Comedy,93,38737,7.9
"Aguirre, der Zorn Gottes",,95,"Action, Adventure, Biography",,52397,7.9
Harold and Maude,PG,91,"Comedy, Drama, Romance",62,70826,7.9
Patton,U,172,"Biography, Drama, War",91,93741,7.9
The Wild Bunch,A,145,"Action, Adventure, Western",97,77401,7.9
Night of the Living Dead,,96,"Horror, Thriller",89,116557,7.9
The Lion in Winter,PG,134,"Biography, Drama, History",,29003,7.9
In the Heat of the Night,U,110,"Crime, Drama, Mystery",75,67804,7.9
Charade,U,113,"Comedy, Mystery, Romance",83,68689,7.9
The Manchurian Candidate,PG-13,126,"Drama, Thriller",94,71122,7.9
Spartacus,A,197,"Adventure, Biography, Drama",87,124339,7.9
L'avventura,U,144,"Drama, Mystery",,26542,7.9
Hiroshima mon amour,,90,"Drama, Romance",,28421,7.9
The Ten Commandments,U,220,"Adventure, Drama",,63560,7.9
The Searchers,Passed,119,"Adventure, Drama, Western",94,80316,7.9
East of Eden,U,118,Drama,72,40313,7.9
High Noon,PG,85,"Drama, Thriller, Western",89,97222,7.9
Strangers on a Train,A,101,"Crime, Film-Noir, Thriller",88,123341,7.9
Harvey,Approved,104,"Comedy, Drama, Fantasy",,52573,7.9
Miracle on 34th Street,,96,"Comedy, Drama, Family",88,41625,7.9
Notorious,U,102,"Drama, Film-Noir, Romance",100,92306,7.9
The Big Sleep,Passed,114,"Crime, Film-Noir, Mystery",,78796,7.9
The Lost Weekend,Passed,101,"Drama, Film-Noir",,33549,7.9
The Philadelphia Story,,112,"Comedy, Romance",96,63550,7.9
His Girl Friday,Passed,92,"Comedy, Drama, Romance",,53667,7.9
The Adventures of Robin Hood,PG,102,"Action, Adventure, Romance",97,47175,7.9
A Night at the Opera,Passed,96,"Comedy, Music, Musical",,30580,7.9
King Kong,Passed,100,"Adventure, Horror, Sci-Fi",90,78991,7.9
Freaks,,64,"Drama, Horror",80,42117,7.9
Nosferatu,,94,"Fantasy, Horror",,88794,7.9
The Gentlemen,A,113,"Action, Comedy, Crime",51,237392,7.8
Raazi,UA,138,"Action, Drama, Thriller",,25344,7.8
Sound of Metal,R,120,"Drama, Music",81,27187,7.8
Forushande,UA,124,Drama,85,51240,7.8
Dunkirk,UA,106,"Action, Drama, History",94,555092,7.8
Perfetti sconosciuti,,96,"Comedy, Drama",,57168,7.8
Hidden Figures,UA,127,"Biography, Drama, History",74,200876,7.8
Paddington 2,U,103,"Adventure, Comedy, Family",88,61594,7.8
Udta Punjab,A,148,"Action, Crime, Drama",,27175,7.8
Kubo and the Two Strings,PG,101,"Animation, Action, Adventure",84,118035,7.8
M.S. Dhoni: The Untold Story,U,184,"Biography, Drama, Sport",,40416,7.8
Manchester by the Sea,UA,137,Drama,96,246963,7.8
Under sandet,R,100,"Drama, History, War",75,35539,7.8
Rogue One,UA,133,"Action, Adventure, Sci-Fi",65,556608,7.8
Captain America: Civil War,UA,147,"Action, Adventure, Sci-Fi",75,663649,7.8
The Hateful Eight,A,168,"Crime, Drama, Mystery",68,517059,7.8
Little Women,U,135,"Drama, Romance",91,143250,7.8
Loving Vincent,UA,94,"Animation, Biography, Crime",62,50778,7.8
Pride,R,119,"Biography, Comedy, Drama",79,51841,7.8
Le passé,PG-13,130,"Drama, Mystery",85,45002,7.8
La grande bellezza,,141,Drama,86,81125,7.8
The Lunchbox,U,104,"Drama, Romance",76,50523,7.8
Vicky Donor,UA,126,"Comedy, Romance",,39710,7.8
Big Hero 6,U,102,"Animation, Action, Adventure",74,410983,7.8
About Time,R,123,"Comedy, Drama, Fantasy",55,303032,7.8
English Vinglish,U,134,"Comedy, Drama, Family",,33618,7.8
Kaze tachinu,PG-13,126,"Animation, Biography, Drama",83,73690,7.8
Toy Story 4,U,100,"Animation, Adventure, Comedy",84,203177,7.8
La migliore offerta,R,131,"Crime, Drama, Mystery",49,108399,7.8
Moonrise Kingdom,A,94,"Comedy, Drama, Romance",84,318789,7.8
How to Train Your Dragon 2,U,102,"Animation, Action, Adventure",76,305611,7.8
The Big Short,A,130,"Biography, Comedy, Drama",81,362942,7.8
Kokuhaku,,106,"Drama, Thriller",,35713,7.8
Ang-ma-reul bo-at-da,,144,"Action, Crime, Drama",67,111252,7.8
The Girl with the Dragon Tattoo,R,158,"Crime, Drama, Mystery",71,423010,7.8
Captain Phillips,UA,134,"Adventure, Biography, Crime",82,421244,7.8
Ajeossi,R,119,"Action, Crime, Drama",,62848,7.8
Straight Outta Compton,R,147,"Biography, Drama, History",72,179264,7.8
Madeo,R,129,"Crime, Drama, Mystery",79,52758,7.8
Chugyeokja,,125,"Action, Crime, Thriller",64,58468,7.8
The Hobbit: The Desolation of Smaug,UA,161,"Adventure, Fantasy",66,601408,7.8
Das weiße Band - Eine deutsche Kindergeschichte,UA,144,"Drama, History, Mystery",82,68715,7.8
Män som hatar kvinnor,R,152,"Crime, Drama, Mystery",76,208994,7.8
The Trial of the Chicago 7,R,129,"Drama, History, Thriller",77,89896,7.8
Druk,,117,"Comedy, Drama",81,33931,7.8
The Fighter,UA,116,"Biography, Drama, Sport",79,340584,7.8
Taken,A,90,"Action, Thriller",51,564791,7.8
The Boy in the Striped Pyjamas,PG-13,94,"Drama, History, War",55,190748,7.8
Once,R,86,"Drama, Music, Romance",88,110656,7.8
The Hobbit: An Unexpected Journey,UA,169,"Adventure, Fantasy",58,757377,7.8
Auf der anderen Seite,,122,Drama,85,30827,7.8
Atonement,R,123,"Drama, Mystery, Romance",85,251370,7.8
Drive,A,100,"Crime, Drama",78,571571,7.8
American Gangster,A,157,"Biography, Crime, Drama",76,392449,7.8
Avatar,UA,162,"Action, Adventure, Fantasy",83,1118998,7.8
Mr. Nobody,R,141,"Drama, Fantasy, Romance",63,216421,7.8
Apocalypto,A,139,"Action, Adventure, Drama",68,291018,7.8
Little Miss Sunshine,UA,101,"Comedy, Drama",80,439856,7.8
Hot Fuzz,UA,121,"Action, Comedy, Mystery",81,463466,7.8
The Curious Case of Benja.0 Button,UA,166,"Drama, Fantasy, Romance",70,589160,7.8
Veer-Zaara,U,192,"Drama, Family, Musical",67,49050,7.8
Adams æbler,R,94,"Comedy, Crime, Drama",51,45717,7.8
Pride & Prejudice,PG,129,"Drama, Romance",82,258924,7.8
The World's Fastest Indian,U,127,"Biography, Drama, Sport",68,51980,7.8
Tôkyô goddofâzâzu,UA,90,"Animation, Adventure, Comedy",73,31658,7.8
Serenity,PG-13,119,"Action, Adventure, Sci-Fi",74,283310,7.8
Walk the Line,PG-13,136,"Biography, Drama, Music",72,234207,7.8
Ondskan,,113,Drama,61,35682,7.8
The Notebook,A,123,"Drama, Romance",53,520284,7.8
Diarios de motocicleta,U,126,"Adventure, Biography, Drama",75,96703,7.8
Lilja 4-ever,R,109,"Crime, Drama",82,42673,7.8
Les triplettes de Belleville,PG-13,80,"Animation, Comedy, Drama",91,50622,7.8
Gongdong gyeongbi guyeok JSA,,110,"Action, Drama, Thriller",58,26518,7.8
The Count of Monte Cristo,PG-13,131,"Action, Adventure, Drama",61,129022,7.8
Waking Life,R,99,"Animation, Drama, Fantasy",83,60684,7.8
Remember the Titans,U,113,"Biography, Drama, Sport",48,198089,7.8
Wo hu cang long,UA,120,"Action, Adventure, Fantasy",94,253228,7.8
Todo sobre mi madre,R,101,Drama,87,89058,7.8
Cast Away,UA,143,"Adventure, Drama, Romance",73,524235,7.8
The Boondock Saints,R,108,"Action, Crime, Thriller",44,227143,7.8
The Insider,UA,157,"Biography, Drama, Thriller",84,159886,7.8
October Sky,PG,108,"Biography, Drama, Family",71,82855,7.8
Shrek,U,90,"Animation, Adventure, Comedy",84,613941,7.8
Titanic,UA,194,"Drama, Romance",75,1046089,7.8
Hana-bi,,103,"Crime, Drama, Romance",,27712,7.8
Gattaca,UA,106,"Drama, Sci-Fi, Thriller",64,280845,7.8
The Game,UA,129,"Action, Drama, Mystery",61,345096,7.8
Breaking the Waves,R,159,Drama,76,62428,7.8
Ed Wood,U,127,"Biography, Comedy, Drama",70,164937,7.8
What's Eating Gilbert Grape,U,118,Drama,73,215034,7.8
Tombstone,R,130,"Action, Biography, Drama",50,126871,7.8
The Sandlot,U,101,"Comedy, Drama, Family",55,78963,7.8
The Remains of the Day,U,134,"Drama, Romance",84,66065,7.8
Naked,,132,"Comedy, Drama",84,34635,7.8
The Fugitive,U,130,"Action, Crime, Drama",87,267684,7.8
A Bronx Tale,R,121,"Crime, Drama, Romance",80,128171,7.8
Batman: Mask of the Phantasm,PG,76,"Animation, Action, Crime",,43690,7.8
Lat sau san taam,R,128,"Action, Crime, Thriller",,46700,7.8
Night on Earth,R,129,"Comedy, Drama",68,55362,7.8
La double vie de Véronique,R,98,"Drama, Fantasy, Music",86,42376,7.8
Boyz n the Hood,A,112,"Crime, Drama",76,126082,7.8
Misery,R,107,"Drama, Thriller",75,184740,7.8
Awakenings,U,121,"Biography, Drama",74,125276,7.8
Majo no takkyûbin,U,103,"Animation, Adventure, Drama",83,124193,7.8
Glory,R,122,"Biography, Drama, History",78,122779,7.8
Dip huet seung hung,R,111,"Action, Crime, Drama",82,45624,7.8
Back to the Future Part II,U,108,"Adventure, Comedy, Sci-Fi",57,481918,7.8
Mississippi Burning,A,128,"Crime, Drama, History",65,88214,7.8
Predator,A,107,"Action, Adventure, Sci-Fi",45,371387,7.8
Evil Dead II,A,84,"Action, Comedy, Fantasy",72,148359,7.8
Ferris Bueller's Day Off,U,103,Comedy,61,321382,7.8
Down by Law,R,107,"Comedy, Crime, Drama",75,47834,7.8
The Goonies,U,114,"Adventure, Comedy, Family",62,244430,7.8
The Color Purple,U,154,Drama,78,78321,7.8
The Breakfast Club,UA,97,"Comedy, Drama",66,357026,7.8
The Killing Fields,UA,141,"Biography, Drama, History",76,51585,7.8
Ghostbusters,UA,105,"Action, Comedy, Fantasy",71,355413,7.8
The Right Stuff,PG,193,"Adventure, Biography, Drama",91,56235,7.8
The King of Comedy,U,109,"Comedy, Crime, Drama",73,88511,7.8
E.T. the Extra-Terrestrial,U,115,"Family, Sci-Fi",91,372490,7.8
Kramer vs. Kramer,A,105,Drama,77,133351,7.8
Days of Heaven,PG,94,"Drama, Romance",93,52852,7.8
The Outlaw Josey Wales,A,135,Western,69,65659,7.8
The Man Who Would Be King,PG,129,"Adventure, History, War",91,44917,7.8
The Conversation,U,113,"Drama, Mystery, Thriller",85,98611,7.8
La planète sauvage,U,72,"Animation, Sci-Fi",73,25229,7.8
The Day of the Jackal,A,143,"Crime, Drama, Thriller",80,37445,7.8
Badlands,PG,94,"Action, Crime, Drama",93,66009,7.8
Cabaret,A,124,"Drama, Music, Musical",80,48334,7.8
Willy Wonka & the Chocolate Factory,U,100,"Family, Fantasy, Musical",67,178731,7.8
Midnight Cowboy,A,113,Drama,79,101124,7.8
Wait Until Dark,,108,Thriller,81,27733,7.8
Guess Who's Co.0g to Dinner,,108,"Comedy, Drama",63,39642,7.8
Bonnie and Clyde,A,111,"Action, Biography, Crime",86,102415,7.8
My Fair Lady,U,170,"Drama, Family, Musical",95,86525,7.8
Mary Poppins,U,139,"Comedy, Family, Fantasy",88,158029,7.8
The Longest Day,G,178,"Action, Drama, History",75,52141,7.8
Jules et Jim,,105,"Drama, Romance",97,37605,7.8
The Innocents,A,100,Horror,88,27007,7.8
À bout de souffle,U,90,"Crime, Drama",,73251,7.8
Red River,Passed,133,"Action, Adventure, Drama",,28167,7.8
Key Largo,,100,"Action, Crime, Drama",,36995,7.8
To Have and Have Not,PG,100,"Adventure, Comedy, Film-Noir",,31053,7.8
Shadow of a Doubt,PG,108,"Film-Noir, Thriller",94,59556,7.8
Stagecoach,Passed,96,"Adventure, Drama, Western",93,43621,7.8
The Lady Vanishes,,96,"Mystery, Thriller",98,47400,7.8
Bringing Up Baby,Passed,102,"Comedy, Family, Romance",91,55163,7.8
Bride of Frankenstein,,75,"Drama, Horror, Sci-Fi",95,43542,7.8
Duck Soup,,69,"Comedy, Musical, War",93,55581,7.8
Scarface: The Shame of the Nation,PG,93,"Action, Crime, Drama",87,25312,7.8
Frankenstein,Passed,70,"Drama, Horror, Sci-Fi",91,65341,7.8
Roma,R,135,Drama,96,140375,7.7
God's Own Country,,104,"Drama, Romance",85,25198,7.7
Deadpool 2,R,119,"Action, Adventure, Comedy",66,478586,7.7
Wind River,R,107,"Crime, Drama, Mystery",73,205444,7.7
Get Out,R,104,"Horror, Mystery, Thriller",85,492851,7.7
Mission: Impossible - Fallout,UA,147,"Action, Adventure, Thriller",86,291257,7.7
En man som heter Ove,PG-13,116,"Comedy, Drama, Romance",70,47444,7.7
What We Do in the Shadows,R,86,"Comedy, Horror",76,157498,7.7
Omoide no Mânî,U,103,"Animation, Drama, Family",72,32798,7.7
The Theory of Everything,U,123,"Biography, Drama, Romance",72,404182,7.7
Kingsman: The Secret Service,A,129,"Action, Adventure, Comedy",60,590440,7.7
The Fault in Our Stars,UA,126,"Drama, Romance",69,344312,7.7
Me and Earl and the Dying Girl,PG-13,105,"Comedy, Drama",74,123210,7.7
Birdman or (The Unexpected Virtue of Ignorance),A,119,"Comedy, Drama",87,580291,7.7
La vie d'Adèle,A,180,"Drama, Romance",89,138741,7.7
Kai po che!,U,130,"Drama, Sport",40,32628,7.7
The Broken Circle Breakdown,,111,"Drama, Music, Romance",70,39379,7.7
Captain America: The Winter Soldier,UA,136,"Action, Adventure, Sci-Fi",70,736182,7.7
Rockstar,UA,159,"Drama, Music, Musical",,39501,7.7
Nebraska,UA,115,"Adventure, Comedy, Drama",87,112298,7.7
Wreck-It Ralph,U,101,"Animation, Adventure, Comedy",72,380195,7.7
Le Petit Prince,PG,108,"Animation, Adventure, Drama",70,56720,7.7
Detachment,,98,Drama,52,77071,7.7
Midnight in Paris,PG-13,96,"Comedy, Fantasy, Romance",81,388089,7.7
The Lego Movie,U,100,"Animation, Action, Adventure",83,323982,7.7
Gravity,UA,91,"Drama, Sci-Fi, Thriller",96,769145,7.7
Star Trek Into Darkness,UA,132,"Action, Adventure, Sci-Fi",72,463188,7.7
Beasts of No Nation,,137,"Drama, War",79,73964,7.7
The Social Network,UA,120,"Biography, Drama",95,624982,7.7
X: First Class,UA,131,"Action, Adventure, Sci-Fi",65,645512,7.7
The Hangover,UA,100,Comedy,73,717559,7.7
Skyfall,UA,143,"Action, Adventure, Thriller",81,630614,7.7
Silver Linings Playbook,A,122,"Comedy, Drama, Romance",81,661871,7.7
Argo,A,120,"Biography, Drama, Thriller",86,572581,7.7
(500) Days of Summer,UA,95,"Comedy, Drama, Romance",76,472242,7.7
Harry Potter and the Deathly Hallows: Part 1,A,146,"Adventure, Family, Fantasy",65,479120,7.7
Gake no ue no Ponyo,U,101,"Animation, Adventure, Comedy",86,125317,7.7
Frost/Nixon,R,122,"Biography, Drama, History",80,103330,7.7
Papurika,U,90,"Animation, Drama, Fantasy",81,71379,7.7
Changeling,R,141,"Biography, Crime, Drama",63,239203,7.7
Flipped,PG,90,"Comedy, Drama, Romance",45,81446,7.7
Toki o kakeru shôjo,U,98,"Animation, Adventure, Comedy",,60368,7.7
Death Note: Desu nôto,,126,"Crime, Drama, Fantasy",,28630,7.7
This Is England,,101,"Crime, Drama",86,115576,7.7
Ex Machina,UA,108,"Drama, Sci-Fi, Thriller",78,474141,7.7
Efter brylluppet,R,120,Drama,78,32001,7.7
The Last King of Scotland,R,123,"Biography, Drama, History",74,175355,7.7
Zodiac,UA,157,"Crime, Drama, Mystery",78,466080,7.7
Lucky Number Slevin,R,110,"Action, Crime, Drama",53,299524,7.7
Joyeux Noël,PG-13,116,"Drama, History, Music",70,28003,7.7
Control,R,122,"Biography, Drama, Music",78,61609,7.7
Tangled,U,100,"Animation, Adventure, Comedy",71,405922,7.7
Zwartboek,R,145,"Drama, Thriller, War",71,72643,7.7
Brokeback Mountain,A,134,"Drama, Romance",87,323103,7.7
3:10 to Yuma,A,122,"Action, Crime, Drama",76,288797,7.7
Crash,UA,112,"Crime, Drama, Thriller",66,419483,7.7
Kung fu,UA,99,"Action, Comedy, Fantasy",78,127250,7.7
The Bourne Supremacy,A,108,"Action, Mystery, Thriller",73,434841,7.7
The Machinist,R,101,"Drama, Thriller",61,358432,7.7
Ray,A,152,"Biography, Drama, Music",73,138356,7.7
Lost in Translation,UA,102,"Comedy, Drama",89,415074,7.7
Harry Potter and the Goblet of Fire,UA,157,"Adventure, Family, Fantasy",81,548619,7.7
Man on Fire,UA,146,"Action, Crime, Drama",47,329592,7.7
Coraline,U,100,"Animation, Drama, Family",80,197761,7.7
The Last Samurai,UA,154,"Action, Drama",55,400049,7.7
The Magdalene Sisters,R,114,Drama,83,25938,7.7
Good Bye Lenin!,R,121,"Comedy, Drama, Romance",68,137981,7.7
In America,PG-13,105,Drama,76,40403,7.7
I Am Sam,PG-13,132,Drama,28,142863,7.7
Adaptation.,R,115,"Comedy, Drama",83,178565,7.7
Black Hawk Down,A,144,"Drama, History, War",74,364254,7.7
Road to Perdition,A,117,"Crime, Drama, Thriller",72,246840,7.7
Das Experiment,R,120,"Drama, Thriller",60,90842,7.7
Billy Elliot,R,110,"Drama, Music",74,126770,7.7
Hedwig and the Angry Inch,R,95,"Comedy, Drama, Music",85,31957,7.7
Ocean's Eleven,UA,116,"Crime, Thriller",74,516372,7.7
Vampire Hunter D: Bloodlust,U,103,"Animation, Action, Fantasy",62,29210,7.7
"O Brother, Where Art Thou?",U,107,"Adventure, Comedy, Crime",69,286742,7.7
Interstate 60: Episodes of the Road,R,116,"Adventure, Comedy, Drama",,29999,7.7
"South Park: Bigger, Longer & Uncut",A,81,"Animation, Comedy, Fantasy",73,192112,7.7
Office Space,R,89,Comedy,68,241575,7.7
Happiness,,134,"Comedy, Drama",81,66408,7.7
Training Day,A,122,"Crime, Drama, Thriller",69,390247,7.7
Rushmore,UA,93,"Comedy, Drama, Romance",86,169229,7.7
Abre los ojos,U,119,"Drama, Mystery, Sci-Fi",,64082,7.7
Being John Malkovich,R,113,"Comedy, Drama, Fantasy",90,312542,7.7
As Good as It Gets,A,139,"Comedy, Drama, Romance",67,275755,7.7
The Fifth Element,UA,126,"Action, Adventure, Sci-Fi",52,434125,7.7
Le dîner de cons,PG-13,80,Comedy,73,37424,7.7
Donnie Brasco,A,127,"Biography, Crime, Drama",76,279318,7.7
Shine,U,105,"Biography, Drama, Music",87,51350,7.7
Primal Fear,A,129,"Crime, Drama, Mystery",47,189716,7.7
Hamlet,PG-13,242,Drama,,35991,7.7
A Little Princess,U,97,"Drama, Family, Fantasy",83,32236,7.7
Do lok tin si,UA,99,"Comedy, Crime, Drama",71,26429,7.7
Il postino,U,108,"Biography, Comedy, Drama",81,33600,7.7
Clerks,R,92,Comedy,70,211450,7.7
Short Cuts,R,188,"Comedy, Drama",79,42275,7.7
Philadelphia,UA,125,Drama,66,224169,7.7
The Muppet Christmas Carol,G,85,"Comedy, Drama, Family",64,50298,7.7
Malcolm X,U,202,"Biography, Drama, History",73,85819,7.7
The Last of the Mohicans,UA,112,"Action, Adventure, Drama",76,150409,7.7
Kurenai no buta,U,94,"Animation, Adventure, Comedy",83,77798,7.7
Glengarry Glen Ross,R,100,"Crime, Drama, Mystery",82,95826,7.7
A Few Good Men,U,138,"Drama, Thriller",62,235388,7.7
Fried Green Tomatoes,PG-13,130,Drama,64,66941,7.7
