Series_Title,Certificate,Runtime,Genre,Meta_score,No_of_Votes,IMDB_Rating
Inglourious Basterds,A,153,"Adventure, Drama, War",69,1267869,8.3
Eternal Sunshine of the Spotless.0d,UA,108,"Drama, Romance, Sci-Fi",89,911664,8.3
Amélie,U,122,"Comedy, Romance",69,703810,8.3
Snatch,UA,104,"Comedy, Crime",55,782001,8.3
Requiem for a Dream,A,102,Drama,68,766870,8.3
American Beauty,UA,122,Drama,84,1069738,8.3
Good Will Hunting,U,126,"Drama, Romance",70,861606,8.3
Bacheha-Ye aseman,PG,89,"Drama, Family, Sport",77,65341,8.3
Toy Story,U,81,"Animation, Adventure, Comedy",95,887429,8.3
Braveheart,A,178,"Biography, Drama, History",68,959181,8.3
Reservoir Dogs,R,99,"Crime, Drama, Thriller",79,918562,8.3
Full Metal Jacket,UA,116,"Drama, War",76,675146,8.3
Idi i smotri,A,142,"Drama, Thriller, War",,59056,8.3
Aliens,U,137,"Action, Adventure, Sci-Fi",84,652719,8.3
Amadeus,R,160,"Biography, Drama, History",88,369007,8.3
Scarface,A,170,"Crime, Drama",65,740911,8.3
Star Wars: Episode VI - Return of the Jedi,U,131,"Action, Adventure, Fantasy",58,950470,8.3
Das Boot,R,149,"Adventure, Drama, Thriller",86,231855,8.3
Taxi Driver,A,114,"Crime, Drama",94,724636,8.3
The Sting,U,129,"Comedy, Crime, Drama",83,241513,8.3
A Clockwork Orange,A,136,"Crime, Drama, Sci-Fi",77,757904,8.3
2001: A Space Odyssey,U,149,"Adventure, Sci-Fi",84,603517,8.3
Per qualche dollaro in più,U,132,Western,74,232772,8.3
Lawrence of Arabia,U,228,"Adventure, Biography, Drama",100,268085,8.3
The Apartment,U,125,"Comedy, Drama, Romance",94,164363,8.3
North by Northwest,U,136,"Adventure, Mystery, Thriller",98,299198,8.3
Vertigo,A,128,"Mystery, Romance, Thriller",100,364368,8.3
Singin' in the Rain,G,103,"Comedy, Musical, Romance",99,218957,8.3
Ikiru,,143,Drama,,68463,8.3
Ladri di biciclette,,89,Drama,,146427,8.3
Double Indemnity,Passed,107,"Crime, Drama, Film-Noir",95,143525,8.3
Citizen Kane,UA,119,"Drama, Mystery",100,403351,8.3
M - Eine Stadt sucht einen Mörder,Passed,117,"Crime, Mystery, Thriller",,143434,8.3
Metropolis,,153,"Drama, Sci-Fi",98,159992,8.3
The Kid,Passed,68,"Comedy, Drama, Family",,113314,8.3
Chhichhore,UA,143,"Comedy, Drama",,33893,8.2
Uri: The Surgical Strike,UA,138,"Action, Drama, War",,43444,8.2
K.G.F: Chapter 1,UA,156,"Action, Drama",,36680,8.2
Green Book,UA,130,"Biography, Comedy, Drama",69,377884,8.2
"Three Billboards Outside Ebbing, Missouri",A,115,"Comedy, Crime, Drama",88,432610,8.2
Talvar,UA,132,"Crime, Drama, Mystery",,31142,8.2
Baahubali 2: The Conclusion,UA,167,"Action, Drama",,75348,8.2
Klaus,PG,96,"Animation, Adventure, Comedy",65,104761,8.2
Drishyam,UA,163,"Crime, Drama, Mystery",,70367,8.2
Queen,UA,146,"Adventure, Comedy, Drama",,60701,8.2
Mandariinid,,87,"Drama, War",73,40382,8.2
Bhaag Milkha Bhaag,U,186,"Biography, Drama, Sport",,61137,8.2
Gangs of Wasseypur,A,321,"Action, Comedy, Crime",89,82365,8.2
Udaan,UA,134,Drama,,42341,8.2
Paan Singh Tomar,UA,135,"Action, Biography, Crime",,33237,8.2
El secreto de sus ojos,R,129,"Drama, Mystery, Romance",80,193217,8.2
Warrior,UA,140,"Action, Drama, Sport",71,435950,8.2
Shutter Island,A,138,"Mystery, Thriller",63,1129894,8.2
Up,U,96,"Animation, Adventure, Comedy",88,935507,8.2
The Wolf of Wall Street,A,180,"Biography, Crime, Drama",75,1187498,8.2
Chak De! India,U,153,"Drama, Family, Sport",68,74129,8.2
There Will Be Blood,A,158,Drama,93,517359,8.2
Pan's Labyrinth,UA,118,"Drama, Fantasy, War",98,618623,8.2
Toy Story 3,U,103,"Animation, Adventure, Comedy",92,757032,8.2
V for Vendetta,A,132,"Action, Drama, Sci-Fi",62,1032749,8.2
Rang De Basanti,UA,167,"Comedy, Crime, Drama",,111937,8.2
Black,U,122,Drama,,33354,8.2
Batman Begins,UA,140,"Action, Adventure",70,1308302,8.2
"Swades: We, the People",U,210,Drama,,83005,8.2
Der Untergang,R,156,"Biography, Drama, History",82,331308,8.2
Hauru no ugoku shiro,U,119,"Animation, Adventure, Family",80,333915,8.2
A Beautiful.0d,UA,135,"Biography, Drama",72,848920,8.2
Hera Pheri,U,156,"Action, Comedy, Crime",,57057,8.2
"Lock, Stock and Two Smoking Barrels",A,107,"Action, Comedy, Crime",66,535216,8.2
L.A. Confidential,A,138,"Crime, Drama, Mystery",90,531967,8.2
Eskiya,,128,"Crime, Drama, Thriller",,64118,8.2
Heat,A,170,"Crime, Drama, Thriller",76,577113,8.2
Casino,A,178,"Crime, Drama",73,466276,8.2
Andaz Apna Apna,U,160,"Action, Comedy, Romance",,49300,8.2
Unforgiven,A,130,"Drama, Western",85,375935,8.2
Indiana Jones and the Last Crusade,U,127,"Action, Adventure",65,692366,8.2
Dom za vesanje,R,142,"Comedy, Crime, Drama",,26402,8.2
Tonari no Totoro,U,86,"Animation, Family, Fantasy",86,291180,8.2
Die Hard,A,132,"Action, Thriller",72,793164,8.2
Ran,U,162,"Action, Drama, War",96,112505,8.2
Raging Bull,A,129,"Biography, Drama, Sport",89,321860,8.2
Stalker,U,162,"Drama, Sci-Fi",,116945,8.2
Höstsonaten,U,99,"Drama, Music",,26875,8.2
The Message,PG,177,"Biography, Drama, History",,43885,8.2
Sholay,U,204,"Action, Adventure, Comedy",,51284,8.2
Monty Python and the Holy Grail,PG,91,"Adventure, Comedy, Fantasy",91,500875,8.2
The Great Escape,U,172,"Adventure, Drama, History",86,224730,8.2
To Kill a Mockingbird,U,129,"Crime, Drama",88,293811,8.2
Yôjinbô,,110,"Action, Drama, Thriller",,111244,8.2
Judgment at Nuremberg,A,179,"Drama, War",60,69458,8.2
Some Like It Hot,U,121,"Comedy, Music, Romance",98,243943,8.2
Smultronstället,U,91,"Drama, Romance",88,96381,8.2
Det sjunde inseglet,A,96,"Drama, Fantasy, History",88,164939,8.2
Du rififi chez les hommes,,118,"Crime, Drama, Thriller",97,28810,8.2
Dial M for Murder,A,105,"Crime, Thriller",75,158335,8.2
Tôkyô monogatari,U,136,Drama,,53153,8.2
Rashômon,,88,"Crime, Drama, Mystery",98,152572,8.2
All About Eve,Passed,138,Drama,98,120539,8.2
The Treasure of the Sierra Madre,Passed,126,"Adventure, Drama, Western",98,114304,8.2
To Be or Not to Be,Passed,99,"Comedy, War",86,29915,8.2
The Gold Rush,Passed,95,"Adventure, Comedy, Drama",,101053,8.2
Sherlock Jr.,Passed,45,"Action, Comedy, Romance",,41985,8.2
Portrait de la jeune fille en feu,R,122,"Drama, Romance",95,63134,8.1
Pink,UA,136,"Drama, Thriller",,39216,8.1
Koe no katachi,16,130,"Animation, Drama, Family",78,47708,8.1
Contratiempo,TV-MA,106,"Crime, Drama, Mystery",,141516,8.1
Ah-ga-ssi,A,145,"Drama, Romance, Thriller",84,113649,8.1
Mommy,R,139,Drama,74,50700,8.1
Haider,UA,160,"Action, Crime, Drama",,50445,8.1
Logan,A,137,"Action, Drama, Sci-Fi",77,647884,8.1
Room,R,118,"Drama, Thriller",86,371538,8.1
Relatos salvajes,R,122,"Comedy, Drama, Thriller",77,177059,8.1
Soul,U,100,"Animation, Adventure, Comedy",83,159171,8.1
Kis Uykusu,,196,Drama,88,46547,8.1
PK,UA,153,"Comedy, Drama, Musical",,163061,8.1
OMG: Oh My God!,U,125,"Comedy, Drama, Fantasy",,51739,8.1
The Grand Budapest Hotel,UA,99,"Adventure, Comedy, Crime",88,707630,8.1
Gone Girl,A,149,"Drama, Mystery, Thriller",79,859695,8.1
Ôkami kodomo no Ame to Yuki,U,117,"Animation, Drama, Fantasy",71,38803,8.1
Hacksaw Ridge,A,139,"Biography, Drama, History",71,435928,8.1
Inside Out,U,95,"Animation, Adventure, Comedy",94,616228,8.1
Barfi!,U,151,"Comedy, Drama, Romance",,75721,8.1
12 Years a Slave,A,134,"Biography, Drama, History",96,640533,8.1
Rush,UA,123,"Action, Biography, Drama",74,432811,8.1
Ford v Ferrari,UA,152,"Action, Biography, Drama",81,291289,8.1
Spotlight,A,129,"Biography, Crime, Drama",93,420316,8.1
Song of the Sea,PG,93,"Animation, Adventure, Drama",85,51679,8.1
Kahaani,UA,122,"Mystery, Thriller",,57806,8.1
Zindagi Na Milegi Dobara,U,155,"Comedy, Drama",,67927,8.1
Prisoners,A,153,"Crime, Drama, Mystery",70,601149,8.1
Mad Max: Fury Road,UA,120,"Action, Adventure, Sci-Fi",90,882316,8.1
A Wednesday,UA,104,"Action, Crime, Drama",,73891,8.1
Gran Torino,R,116,Drama,72,720450,8.1
Harry Potter and the Deathly Hallows: Part 2,UA,130,"Adventure, Drama, Fantasy",85,764493,8.1
Okuribito,PG-13,130,"Drama, Music",68,48582,8.1
Hachi: A Dog's Tale,G,93,"Biography, Drama, Family",,253575,8.1
Mary and Max,,92,"Animation, Comedy, Drama",,164462,8.1
How to Train Your Dragon,U,98,"Animation, Action, Adventure",75,666773,8.1
Into the Wild,R,148,"Adventure, Biography, Drama",73,572921,8.1
No Country for Old Men,R,122,"Crime, Drama, Thriller",91,856916,8.1
Lage Raho Munna Bhai,U,144,"Comedy, Drama, Romance",,43137,8.1
Million Dollar Baby,UA,132,"Drama, Sport",86,635975,8.1
Hotel Rwanda,PG-13,121,"Biography, Drama, History",79,334320,8.1
Taegukgi hwinalrimyeo,R,140,"Action, Drama, War",64,37820,8.1
Before Sunset,R,80,"Drama, Romance",90,236311,8.1
Munna Bhai M.B.B.S.,U,156,"Comedy, Drama, Musical",,73992,8.1
Salinui chueok,UA,131,"Crime, Drama, Mystery",82,139558,8.1
Dil Chahta Hai,Unrated,183,"Comedy, Drama, Romance",,66803,8.1
Kill Bill: Vol. 1,R,111,"Action, Crime, Drama",69,1000639,8.1
Finding Nemo,U,100,"Animation, Adventure, Comedy",90,949565,8.1
Catch Me If You Can,A,141,"Biography, Crime, Drama",75,832846,8.1
Amores perros,A,154,"Drama, Thriller",83,223741,8.1
"Monsters, Inc.",U,92,"Animation, Adventure, Comedy",79,815505,8.1
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",UA,87,"Animation, Action, Drama",,38847,8.1
Lagaan: Once Upon a Time in India,U,224,"Adventure, Drama, Musical",84,105036,8.1
The Sixth Sense,A,107,"Drama, Mystery, Thriller",64,911573,8.1
La leggenda del pianista sull'oceano,U,169,"Drama, Music, Romance",58,59020,8.1
The Truman Show,U,103,"Comedy, Drama",90,939631,8.1
"Crna macka, beli macor",R,127,"Comedy, Crime, Romance",73,50862,8.1
